Date,Category,Description
1999,time-based media,UGP: The End; 16 mm film; 6 minutes
1998,publications,1ª Mostra ApArtes de Jovens Talentos 1998; CAPES; Brasil
1998,shows,SCREENING: Cinema; Project Room; Artists Space; New York
1998,shows,SCREENING: Membro Fantasma; Luisa Strina Gallery; São Paulo
1998,shows,SCREENING: CINEMAM; CICLO DE CINEMA LATINO AMERICANO; MoMA SP
1998,shows,SCREENING: Membro Fantasma; SOCINE; MAM Rio de Janeiro
1998,shows,SCREENING: SCOPE; Artists Space; Summer Video Festival
1998,time-based media,Peru-Florida; HI8 video; color; sound; 3 minutes
1998,time-based media,Baba Antropofágica; Hi8 video; color; sound; 9 minutes
1998,shows,MA exhibition; 80 Washington Square East Gallery; NYU
1997,time-based media,Eyes; Hi8 video; color; 3 minutes
1997,time-based media,Experimental Black 2; Hi8 video; sound; color; 4 minutes
1997,publications,PRESS: Karin Schneider; Artforum by Barry Schwabsky
1997,time-based media,UGP: Phantom Limb; 16 mm film; B&W; silent; 22 minutes
1996,time-based media,Burning; Hi8 video; color; sound; 3 minutes
1996,time-based media,Experimental Black 1; Hi8 video; sound; color; 5 min
1995,shows,GROUP: Mirrors and Shadows; CCBB; Rio de Janeiro
1988,shows,SOLO: Objetos; Casa de Cultura Mário Quintana; Porto Alegre
1987,shows,SCREENING: This Media; NYU Cantor Media Center; NYC
Permanent,collections,Whitney Museum of American Art; USA
Permanent,collections,Museum of Modern Art; São Paulo; Brasil
Permanent,collections,Espaço Cultural Casa das Onze Janelas (Funarte Collection); Belém; Pará
Permanent,collections,Muzej moderne i suvremene umjetnosti (MMSU); Rijeka; Croatia
Permanent,collections,Muzeum Sztuki; Łódź; Poland
Permanent,collections,Centre Georges Pompidou; Paris; France
Permanent,collections,Museo Moderno; Buenos Aires; Argentina
